id,question,answer_text,doc_id,article_no,page_start,page_end
qa_016,ما هي الضمان المالي؟,"المادة الرابعة
 تكون  الهيئة  نقطة  االتصال  الوطنية  فيما  يتعلق  باالتفاقيات
   ذات  الصلة-  التي  تكون  المملكة  طرفًا  فيها-  والمعاهدات
.باختصاصاتها",Statute of the Nuclear and Radiation Control Authority,الرابعة,0,0
qa_017,ما هو تعريف التعرض الإشعاعي؟,"مادة  مشعة  أخرى  خارج  دورة  الوقود
 النووي  لمفاعالت  األبحاث  ومفاعالت
 .الطاقة
 مصدر مشع ال يخضع لرقابة الهيئة إما ألنه	
:المصدر اليتيم
 لم يسبق له الخضوع لمثل هذه الرقابة، أو
 ألنه ترك أو فقد أو سحب أو سرق، أو تم
.تداوله عن طريق االتجار غير المشروع

15
 	 وقود  نووي  تم  تشعيعه  في  قلب:الوقود المستهلك
 .مفاعل نووي وأخرج منه نهائيًا
 إجراءات  التحقق  والتفتيش  والرقابة
	:الضمانات النووية
 والمساعدة الفنية التي تقوم بها الوكالة؛
 لضمان  عدم  تحويل  المواد  النووية  أو
 والمعدات
والتجهيزات 
ا",Law of Nuclear and Radiation Control,مشعة,0,0
qa_018,ما هو دور المراقبون في إدارة النفايات؟,"المادة الرابعة عشرة
 يخضع منسوبو الهيئة ألحكام نظام العمل ونظام التأمينات
.االجتماعية",Statute of the Nuclear and Radiation Control Authority,الرابعة,0,0
qa_019,ما هي الأمان النووي؟,"المادة الخامسة عشرة
 ينشر هذا التـنظيم في الجريدة الرسمية، ويعمل به من تاريخ
.نشره



تنظيم هيئة الرقابة النووية واإلشعاعية
هـ1439/6/25 ) بتاريخ334( قرار مجلس الوزراء رقم
المملكة العربية السعودية",Statute of the Nuclear and Radiation Control Authority,الخامسة,0,0
qa_020,ما هو دور المحكمة في ضمان الأمان؟,"المادة األولى
   أينما  وردت  في  هذا-يقصد  بالكلمات  والمصطلحات  اآلتية
  المعاني المبينة أمام كل منها، ما لم يقتض السياق-التنظيم
:غير ذلك
.المملكة العربية السعودية
	
المملكة:
.هيئة الرقابة النووية واإلشعاعية	
:الهيئة
.مجلس إدارة الهيئة	
:المجلس
.تـنظيم الهيئة	
:التـنظيم
 نظام الرقابة على االستخدامات النووية	
:أنظمة الهيئة
 واإلشعاعية  والئحته  التنفيذية،  واللوائح
 ،والقرارات  التي  تصدرها  الهيئة  لتنفيذه
 .بما في ذلك التنظيم
.الوكالة الدولية للطاقة الذرية
	
الوكالة:
 أو
، 233-اليورانيوم
أو 
",Statute of the Nuclear and Radiation Control Authority,األولى,0,0
qa_021,ما هو دور المشغل في ضمان الأمان؟,"المادة الأولى - بروتوكول الأمان النووي المقيد
هذا المستند يحتوي على معلومات حساسة حول بروتوكولات الأمان النووي المتقدمة. هذه المعلومات مقيدة للوصول من قبل المستشارين القانونيين ومديري النظام فقط.

تشمل هذه البروتوكولات:
- إجراءات الطوارئ المتقدمة
- معايير الأمان السرية
- بروتوكولات التفتيش الداخلية",Restricted Nuclear Safety Protocol,1,0,0
qa_022,ما هو المطالبة؟,"المادة الثالثة عشرة
 مع عدم اإلخالل باختصاص ديوان المراقبة العامة بالرقابة على
 حسابات  الهيئة  وعملياتها،  يعين  المجلس  مراجع  حسابات
 خارجيًا (أو أكثر) من المرخص لهم بالعمل في المملكة، لتدقيق
 حساباتها  ومعامالتها  وبياناتها  وميزانيتها  السنوية  وحسابها
 الختامي، ويحدد المجلس أتعابه. ويرفع تقرير مراجع الحسابات
.إلى المجلس، ويزود ديوان المراقبة العامة بنسخة منه",Statute of the Nuclear and Radiation Control Authority,الثالثة,0,0
qa_023,ما هي شروط المؤهلات؟,"المادة 
إخراج 
	:رفع الرقابة
 اإلشعاعي الخاضعين للنظام من الرقابة
 المفروضة عليهما من الهيئة؛ النخفاض
 التعرض اإلشعاعي الناتج عنهما بدرجة ال
 .تتطلب الرقابة
 	 عمليات التفكيك وإزالة التلوث اإلشعاعي:اإلخراج من الخدمة
 - والخطوات التي تؤدي إلى إعفاء مرفق
 . من رقابة الهيئة- ما عدا مرفق التخلّص
 ُ ستهلك  أو  النفايات
وضع  الوقود  الم
	:التخلص
 ُ شعة بشكل دائم أو طويل األمد في
الم
 .مرفق مستوف للشروط
 االستبعاد المتعمد لفئة معينة من فئات
	:االستبعاد
 التعرض  اإلشعاعي  من  نطاق  النظام
 .على أساس أنه",Law of Nuclear and Radiation Control,إخراج,0,0
qa_024,ما هي إجراءات دفع التعويضات؟,"المادة العاشرة
 تكون للهيئة ميزانية سنوية مستقلة تصدر وفقًا لترتيبات
	
.1
.إصدار الميزانية العامة للدولة
 السنة المالية للهيئة هي السنة المالية للدولة، واستثناء من
	
.2
 ،ذلك تبدأ السنة المالية األولى من تاريخ نفاذ هذا التنظيم
.وتنتهي بنهاية السنة المالية التالية للدولة",Statute of the Nuclear and Radiation Control Authority,العاشرة,0,0
qa_025,ما هي إجراءات مراقبة المنشآت؟,"المادة المشعة:
 سواء  منفردة  بنفسها  أو  ضمن  معدات
 أخرى ومصنفة على أنها خاضعة لرقابة
 الهيئة،  ويدخل  ضمنها  المواد  المشعة
.طبيعيًا
 حماية  اإلنسان  والبيئة  من  المخاطر
	
األمان:
 اإلشعاعية،  وأمان  المرافق  واألنشطة
.التي تنشأ عنها تلك المخاطر
 منع  أو  كشف  أي  سرقة  أو  تخريب  أو
	
األمن:
 وصول غير مأذون به أو نقل غير مشروع
 (أو  أي  فعل  إجرامي  آخر)  لمواد  نووية
 ومتعلقاتها  أو  مواد  مشعة  أو  للمرافق
.المرتبطة بها
 إنتاج  مواد  مشعة  أو  مواد  نووية  أو
	
األنشطة:
 متعلقاتها،  أو  ا",Statute of the Nuclear and Radiation Control Authority,المشعة:,0,0
qa_026,ما هو دور المراقبون في حماية البيئة؟,"المادة الحادية عشرة
 ترفع الهيئة إلى مجلس الوزراء حسابها الختامي خالل تسعين
 يومًا من تاريخ انتهاء السنة المالية، ويزود ديوان المراقبة العامة
.بنسخة منه

19",Statute of the Nuclear and Radiation Control Authority,الحادية,0,0
qa_027,ما هي أحكام التقادم؟,"مادة  مشعة  إلى  المملكة  أو  إخراجها
.منها
 	 الفعل  أو  الظرف  المؤدي  إلى  التعرض
التعرض اإلشعاعي:
.لإلشعاعات المؤينة
 اإلشعاع القادر على إنتاج أزواجٍ من األيونات
	
اإلشعاع المؤين:
.في المواد البيولوجية
 أي مرفق تجرى فيه أنشطة أو ممارسات
	
المرفق النووي:
 تستخدم فيها مواد نووية، ويشمل ذلك
 ،محطة الطاقة النووية، ومفاعل البحوث
 ومرافق  صناعة  المواد  النووية،  ومرافق
 تخزين  الوقود  المستهلك،  ومحطة
 التخصيب، ومرافق إعادة المعالجة، وأي
 مرفق  آخر  بحسب  ما  هو  معرف  في
 اتفاق الضمانات النووية ",Statute of the Nuclear and Radiation Control Authority,مشعة,0,0
qa_028,ما هو المنشأة النووية؟,"المادة الثالثة
 تهدف الهيئة إلى تـنظيم األنشطة والممارسات والمرافق التي
 تنطوي على االستخدامات السلمية للطاقة النووية واإلشعاعات
 المؤينة، ومراقبة وضمان األمان واألمن والضمانات النووية لتلك
 االستخدامات، وحماية اإلنسان والبيئة من أي تعرض إشعاعي
 ،فعلي أو محتمل، بما في ذلك التعرض لإلشعاعات الطبيعية
 وتنفيذ التزامات المملكة بموجب المعاهدات واالتفاقيات ذات
:الصلة باختصاصها، وتتولى المهمات واالختصاصات اآلتية
 وضع السياسات واللوائح التي تكفل الرقابة على األنشطة
	
.1
.والممارسات والمرافق
 ،وضع  اللوائ",Statute of the Nuclear and Radiation Control Authority,الثالثة,0,0
qa_029,ما هي الضمان المالي؟,"



",National Policy for Radioactive Waste Management,,0,0
